epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.23110257067932533,2.0785984193361724,0.7345128206335582,0.30172043774397145,1.8362564732951503,0.847526874080781
1,0.32048718743026255,1.7714465790528517,0.850025635269972,0.38279570610292496,1.5673849313489852,0.903010743664157
2,0.3788461610674858,1.548764780301314,0.8970769144480045,0.4210752758287614,1.423154362555473,0.9225806347785458
3,0.41907692975722827,1.4050167390933403,0.9237692200220549,0.475268824831132,1.2937632333847784,0.9389247202104137
4,0.454846160446222,1.3178313475388748,0.9363333228918223,0.4774193606069011,1.2779470778280688,0.9382795591508188
5,0.4768718022108078,1.2546253375823682,0.9445384506078867,0.5161290393721673,1.1718640669699638,0.9511827826499939
6,0.5003076995106844,1.2085803559193244,0.9483589633153036,0.5245161364155431,1.1775107222218668,0.949462353798651
7,0.5133846229887926,1.1617376859371478,0.9545897327019618,0.5374193639524522,1.129318009268853,0.95505375131484
8,0.5228974437598999,1.1361407707287714,0.9583589626275576,0.5544086108284612,1.1168627858161926,0.9531182658287787
9,0.5374871871906978,1.1091669758008076,0.9601538354616899,0.563440869123705,1.0891760199300704,0.9602150413297837
10,0.5478205201259027,1.086866326882289,0.9620512706499833,0.5724731262653104,1.0525992531930246,0.9597849357512689
11,0.5563589822558256,1.0592853080767852,0.9644871682387132,0.5630107604688214,1.0558746749354948,0.9655913856721694
12,0.5655897502028026,1.0426638809534219,0.9659230653139261,0.5733333420368933,1.0601503314510468,0.9615053634489736
13,0.574025648110188,1.0208034168756925,0.9682820406785378,0.5888172109280864,1.0134336179302585,0.9692473007786658
14,0.5831538531642694,1.0054562901533568,0.9692051176841442,0.5892473197752429,1.0118011809164478,0.9675268711582307
15,0.5928205196215556,0.984095934170943,0.9713076819364841,0.5946236637330824,0.9954399135804946,0.9681720341405561
16,0.5980769302065556,0.97060810478834,0.9709999895095826,0.6049462414556934,0.9832875297915551,0.9705376194369408
17,0.6045384686841414,0.957862049295352,0.9738461437133642,0.6077419417519723,0.9881355912454667,0.9711827847265428
18,0.6127948791476396,0.9372870329251656,0.9747692205814215,0.6092473199290614,0.9793106409811204,0.9675268719273229
19,0.6160512887973052,0.9287803836969228,0.9766922981005448,0.6234408657396994,0.9524379414896811,0.968602140103617
20,0.6282307747694162,0.9124643355607986,0.9768205029689349,0.6249462441090614,0.9577155151674824,0.9675268688509541
21,0.6320769285238707,0.8977571314802537,0.9784871696508848,0.6290322647940728,0.9466014527505444,0.9716128918432421
22,0.6374359036638186,0.8851673479034351,0.9792051192888847,0.6320430155723326,0.9406937145417736,0.9729032158851624
23,0.645051287985765,0.8723216324815384,0.9792564003742659,0.6251612961292267,0.9689707217677948,0.9668817104831818
24,0.6504359027055594,0.8567292257914176,0.9804102473992568,0.6322580689384091,0.9354904843914893,0.9726881627113588
25,0.6526666728579081,0.8502737451287417,0.979641016309078,0.6374193599147181,0.9268271165509377,0.9744085931008862
26,0.6590256459208635,0.8396037608614335,0.9807435802312998,0.6395698993436751,0.9277579088364878,0.9748387006021315
27,0.6647692351387098,0.8181198306267078,0.9835384532580009,0.6380645211665861,0.9315394122754374,0.9733333233864077
28,0.6703589794727473,0.8137972833101565,0.9826922987974607,0.653333338614433,0.9093473199875124,0.9739784836769104
29,0.6742051322414325,0.8036401771811339,0.9832564016030385,0.6460215114778088,0.9050008041243399,0.9767741837809163
30,0.6801282086051428,0.785510926269568,0.9842051202517289,0.6516129099553631,0.8940363049507141,0.976559131376205
31,0.6867692345151535,0.7777543452152839,0.9837435817718506,0.6466666744601341,0.928710344722194,0.9718279454015917
32,0.6929487216243377,0.7630470416866816,0.9856666591992745,0.6537634455388592,0.8980687852828734,0.9763440739723944
33,0.697666668846057,0.7495404486243541,0.9863333253218578,0.6640860247996545,0.8933766188160066,0.9750537537759351
34,0.7013589773040552,0.7428224316010108,0.9863846076910312,0.659139790650337,0.8787363921442339,0.9772042920512538
35,0.7069230796969854,0.7286624990059779,0.9865640949285948,0.6724731247271261,0.8965294026559399,0.9759139687784256
36,0.7130256429085364,0.7180778341109936,0.9882564035745768,0.6591397896889717,0.9054025078973462,0.9769892373392659
37,0.7169487201938263,0.7092742905020714,0.9883076850267557,0.6698924760664663,0.8745331454661585,0.9810752599470077
38,0.7221025651005598,0.69286661028862,0.9889999932050705,0.6643010797039155,0.9039423927184074,0.9765591298380206
39,0.7272307708859443,0.6790567652422648,0.9891025573015213,0.6619354869088819,0.8984052204316663,0.9793548303265726
40,0.7313076932613666,0.6728339722294073,0.989871788575099,0.667956995002685,0.8813199618170339,0.9756989144509839
41,0.7318717961127942,0.6695436173218947,0.9899230708067234,0.6681720472151234,0.8983046925836994,0.9759139672402413
42,0.7361282063676761,0.6548477790218133,0.9900256350407234,0.6681720454846659,0.9113963369400271,0.9784946126322592
