epoch,acc,loss,val_acc,val_loss
0,0.32191330344687663,1.366293793444498,0.4357569723490225,1.2414540161649545
1,0.39587443947792056,1.2846914208202618,0.4960159364924488,1.168010543067142
2,0.42768310915016094,1.2373239856628737,0.5179282866151209,1.1331753726024552
3,0.4642152466385532,1.184790635985644,0.5423306770533679,1.0775750642753692
4,0.4915994021247499,1.1550131327938427,0.5552788846996201,1.0506416193517556
5,0.5134828102000626,1.1149283108190926,0.587649402627907,0.9936170653992915
6,0.5327354260178782,1.08438714396615,0.5911354581673307,0.997984272312833
7,0.5521674140828964,1.0545250266300368,0.5956175296430094,0.9980816705768327
8,0.5660986547103021,1.0199962217889738,0.6190239043824701,0.9757172389334416
9,0.5843348281337185,0.9992926301442989,0.6220119521912351,0.9489579089134338
10,0.5943198804506094,0.9723762644994419,0.6404382470119522,0.9388093699022119
11,0.6059790732579025,0.9529878967367836,0.6384462149019735,0.931226485991383
12,0.6155455904388285,0.9359472577489901,0.6484063747394607,0.898581262603699
13,0.621464872973204,0.9163495504624463,0.6409362552175484,0.9283679524265912
14,0.6339611360524268,0.8955396669042841,0.6623505978470304,0.864204039136727
15,0.6435874439818264,0.8781755838978629,0.6743027890820902,0.843447258985375
16,0.6500448430778378,0.8642030177522668,0.6718127492414527,0.9021075196950085
17,0.6572795216919596,0.8464045093929108,0.6827689245402575,0.8368991432911846
18,0.6618834080966955,0.8316571784589679,0.6822709160971927,0.8867875413590693
19,0.6708520179621663,0.8148109600005842,0.6797808764940239,0.8924896118650398
20,0.6731240657983161,0.8086381736820946,0.6857569721115537,0.8724415266656306
21,0.6831091181045156,0.7920372839750909,0.6982071710772724,0.8377289826651494
22,0.6889088191437258,0.7803600071506471,0.6982071713147411,0.8197843608153293
23,0.6950672645882463,0.7653931499133374,0.6957171317115723,0.8217853621182689
24,0.6954857997153016,0.7561030195646756,0.7086653386454184,0.8053441064291267
25,0.7028400598192429,0.7425536587206237,0.6992031870135273,0.8361648684478851
26,0.7067862481564863,0.7320947456858796,0.7051792826310572,0.8304017003313954
27,0.7107324364972935,0.7226421775661064,0.7111553782485871,0.8355309778000729
28,0.7120478326108958,0.7159777884276637,0.7146414340254795,0.8075289816495432
29,0.7238266068901894,0.7004907538858764,0.7071713145035672,0.825972851054127
