epoch,acc,loss,val_acc,val_loss
0,0.6305889423076924,0.9140802749647544,0.7479166666666667,0.6793023104468981
1,0.7897836538461539,0.5533292807352085,0.8104166666666667,0.5228580916921298
2,0.8298677884615384,0.4474788609605569,0.8171875,0.47313420884311197
3,0.8535456730769231,0.3946954969674922,0.8401041666666667,0.4436155262713631
4,0.8685096153846154,0.36041061008850545,0.8401041666666667,0.4699853403804203
5,0.8804086538461539,0.33263419167711755,0.85,0.4082946057120959
6,0.8890625,0.31167743354319377,0.8598958333333333,0.3673253438125054
7,0.896875,0.2873730399896606,0.8645833333333334,0.41295705835024515
8,0.9014423076923077,0.2765175121299063,0.8625,0.3838980584715804
9,0.9123197115384616,0.2561073498854127,0.8708333333333333,0.35680453591048716
10,0.9139423076923077,0.2435064762732229,0.8604166666666667,0.3936513131173948
11,0.9215144230769231,0.2297269817871543,0.8802083333333334,0.34831958906725047
12,0.9220552884615385,0.22175001889073218,0.871875,0.3793120604629318
13,0.9228966346153846,0.21161062606305886,0.8770833333333333,0.3806978674450268
14,0.9307692307692308,0.19375122929475486,0.8822916666666667,0.3496913837424169
15,0.9358173076923076,0.18495959928796554,0.8734375,0.37260967657590904
16,0.9420072115384616,0.17349434098891484,0.86875,0.42105524421979984
