epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.11760784538061012,3.9175404641207527,0.5404313786970634,0.20266667095323404,2.192401171922684,0.7013333365817864
1,0.21807843606261645,2.1166235042553323,0.7210196085829361,0.33166667270163697,1.8163186291853586,0.8516666607062022
2,0.347490202515733,1.7814462866268905,0.8512941122639412,0.4246666729450226,1.6236180007457732,0.8936666589975357
3,0.42125490910574503,1.5712556552653218,0.8986274442018247,0.4823333395272493,1.4507412936290105,0.917333325346311
4,0.4609411829505481,1.4354591435778374,0.9212156786871891,0.5213333405305942,1.3455079734325408,0.93766665995121
5,0.5092156926790873,1.3163391891414045,0.9372941101064869,0.5476666722695033,1.2792119892438252,0.9416666595141093
6,0.5393725551138906,1.2222759159522898,0.9479999933055803,0.5783333404610554,1.1607641132672628,0.9506666598717372
7,0.5721176525424508,1.1366505086305094,0.9581960722979377,0.5880000047882398,1.1535003811120987,0.9563333257039388
8,0.5943921624649974,1.0600325998488596,0.9659607789796941,0.605000004445513,1.074041107594967,0.9629999947547913
9,0.6152156910592435,1.0172797384332208,0.9691764653430266,0.6103333372374375,1.0571795521179834,0.9596666610240936
10,0.6279215727834141,0.9842283405159034,0.9699215633728925,0.6306666697065035,1.0277995722492537,0.9679999955495199
11,0.646901964930927,0.931149131240798,0.9732941130563325,0.6263333383202553,1.0346065132816633,0.9666666613022487
12,0.6596862784232579,0.8930667254913087,0.9776862704753876,0.6473333349078894,0.9900928022464116,0.9633333279689154
13,0.6771764735263937,0.8559772644498769,0.9789803882673674,0.6506666706999144,0.966002105375131,0.9739999955892563
14,0.691450983256686,0.8195557467668664,0.980156858995849,0.6463333376248678,0.9824402810136477,0.9679999961455663
15,0.6890196100023447,0.8045898058133967,0.9824705849441827,0.661333336085081,0.9844462635119756,0.9699999948342641
16,0.7182352948393308,0.746511846062015,0.9853333304208868,0.6590000027418137,0.9808508795499802,0.9706666620572408
17,0.7228235299972927,0.7262534422266717,0.9864313696879966,0.6766666701436043,0.9350146960218747,0.9743333286046982
18,0.7298039220624111,0.7127956506872878,0.986941173918107,0.6543333373963833,1.012018183718125,0.971333328684171
19,0.7519215683025472,0.6609405597664562,0.9873725464063532,0.6533333354194959,0.9952414807180564,0.9736666623751322
20,0.7504313721551614,0.6567967426192527,0.9894509782510645,0.665000003327926,0.9810674426952998,0.9696666612227758
21,0.7673725477503796,0.6137073638830699,0.9900784293109295,0.6603333375354608,1.0046943818529448,0.9713333278894425
22,0.7790980372008155,0.5843076028280398,0.9908235274109186,0.6626666695872943,1.0120396836102008,0.9766666620969773
