epoch,acc,loss,val_acc,val_loss
0,0.457125,1.2302357168197633,0.57,1.0433928525447846
1,0.5874375,1.0026509729623794,0.62,0.8649683010578155
2,0.6585,0.8460760784149169,0.6875,0.7028597593307495
3,0.7115625,0.7124894816279411,0.755625,0.5857650917768479
4,0.7453125,0.6262777019143104,0.77125,0.5510112500190735
5,0.7724375,0.5646953269839287,0.81375,0.45917850017547607
6,0.7960625,0.5135589524507522,0.835,0.4470320251584053
7,0.811375,0.47511210641264917,0.83875,0.4242527410387993
8,0.8265625,0.435201554864645,0.848125,0.3981664341688156
9,0.8443125,0.40003521195054054,0.886875,0.3084951791167259
10,0.855375,0.3706525492072105,0.870625,0.30841501876711847
11,0.872375,0.33560282370448113,0.88125,0.2895263020694256
12,0.882125,0.3066759475469589,0.915,0.23535486228764058
13,0.8926875,0.28558995470404624,0.9075,0.22460593990981578
14,0.901625,0.256432849213481,0.938125,0.17071285359561444
15,0.910875,0.23712843064963818,0.949375,0.14883346814662218
16,0.9196875,0.2176138128116727,0.948125,0.12767114356160164
17,0.923,0.20048216681182385,0.951875,0.1251739414036274
18,0.9339375,0.17784512321650983,0.965625,0.08989882074296475
19,0.9400625,0.16267914091423155,0.973125,0.08705188997089863
20,0.9480625,0.1407220814563334,0.97625,0.06946679351851344
21,0.9529375,0.13006907003000379,0.975625,0.06841509717982262
22,0.9554375,0.12202527512982488,0.979375,0.06348202744498849
23,0.9608125,0.11286654173582793,0.9825,0.0513779357355088
24,0.966,0.09641785872727633,0.985,0.04283587924670428
25,0.97125,0.08667379450518638,0.98875,0.04042099886573851
26,0.9709375,0.08580819293297827,0.983125,0.04555286351707764
27,0.97025,0.08481532598100602,0.988125,0.033948908592574295
28,0.97475,0.0763572832243517,0.99125,0.03166951381368563
29,0.9775625,0.06758255859976635,0.984375,0.039383811801671983
30,0.9780625,0.06448968984931708,0.988125,0.030567819508723913
31,0.9806875,0.05993208317295648,0.9875,0.035541462536202745
32,0.9808125,0.059488298843149094,0.99,0.026776618121075443
33,0.982,0.05536007127864286,0.99,0.030542370462790132
34,0.9823125,0.05347516448912211,0.991875,0.026886707399971784
35,0.9825,0.05117208560928702,0.98625,0.039072928957175464
36,0.98,0.05875523903174326,0.991875,0.025333098230767064
37,0.983375,0.04911772114573978,0.991875,0.02407501027075341
38,0.98625,0.043334602907067164,0.990625,0.022201295254344586
39,0.98775,0.03710540055960882,0.993125,0.018099494504131144
40,0.9828125,0.049896716941613704,0.993125,0.021431861711025704
41,0.98375,0.04857641978631727,0.99625,0.014271730465115979
42,0.9889375,0.035833075927570464,0.99375,0.018224399148020893
43,0.9889375,0.03745858141116332,0.993125,0.01900945704896003
44,0.9880625,0.03754332053742837,0.99375,0.018282518871710635
45,0.987625,0.03799409115838353,0.995625,0.0143702965794364
46,0.9891875,0.03307926014144323,0.994375,0.015549319776764605

Elapsed train data fitting time 2:50:39.133581
