epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.17320838555315027,2.2105519204391246,0.6556340435228438,0.22524392777442537,2.1176429673896333,0.7326136600285713
1,0.22550415859633133,2.085068555740421,0.7456705024495841,0.2545152584781829,2.014874455392769,0.7913639195385577
2,0.2568360487638145,2.0123399343009254,0.7823288139455394,0.29728046503828254,1.9084159163288341,0.8320531451481864
3,0.27785689871254415,1.9523563368982995,0.8075367437621055,0.33963047541818703,1.8521617892522497,0.8391114802115038
4,0.3048877748661274,1.896085125228953,0.8231742053093312,0.3520863609044711,1.770127112251212,0.860909279659375
5,0.32254756750598157,1.8350859014594338,0.84066309673009,0.37554494499269303,1.737126787371573,0.8663068300019118
6,0.34422353879457673,1.7842766261934704,0.8522558960920588,0.39028440947005033,1.67623778069591,0.8814614905666607
7,0.36413353081918653,1.726582026174675,0.8646177509399567,0.4010795101674979,1.6618107387280598,0.8881046294621568
8,0.3746439557935513,1.6885695062493686,0.872308305799248,0.4232925057151344,1.6084320186603507,0.8941249740749864
9,0.39293038623675514,1.6386425477626914,0.8819357411416201,0.42059373063666955,1.6072699358930027,0.8984845339546615
10,0.40443773498917623,1.6007851912435562,0.8909935057536744,0.4411459414635255,1.5356934640277389,0.9026364957689867
11,0.41796741483422584,1.5617471775134468,0.8958641904978922,0.4411459414758993,1.581579383908898,0.9020137014986941
12,0.4260282556682238,1.5370254325910162,0.9013899965819756,0.4496574632503295,1.544167355429911,0.907411251841231
13,0.4375356044206449,1.5077513745505569,0.9038110971858266,0.45630060213345175,1.4883487447554922,0.9148847830847434
14,0.44166571721544945,1.4847191326151246,0.9071151874216703,0.441768735746192,1.5571869375152858,0.9030516919491819
15,0.4527742964566481,1.458935650603516,0.9116725532642133,0.46418932946435587,1.4886969614504084,0.916545567805524
16,0.4576734647373818,1.4408901988937084,0.9138088185029053,0.46522731992721755,1.496246569132394,0.9192443429644187
17,0.47202916714139226,1.4158206027040616,0.9190782727583456,0.4689640856294036,1.4720685684460686,0.9225659124183536
18,0.4719722000683605,1.3960573364393416,0.9205879001936881,0.4733236455090788,1.4741509739036551,0.9182063525263046
19,0.47912156773384984,1.3825534875101988,0.9225247806767688,0.4841187461817787,1.4121304187929082,0.9273406684782239
20,0.4854449128403783,1.3633037611198708,0.9272245642018913,0.48930869844659175,1.4210837588212242,0.9271330703881263
21,0.4901162128289848,1.3445542348032866,0.9299589837074171,0.48162756910060783,1.4722877795799703,0.9227735105084511
22,0.49507234818275037,1.3322353289694262,0.9320097983365615,0.48910110034412035,1.4299550816951907,0.9302470417395899
23,0.5000284835365159,1.3144198728202618,0.9320667654095932,0.4880631098812587,1.4270571154728455,0.9273406684782239
24,0.5039592115757092,1.3058549928898773,0.9347157343055714,0.49366825831389316,1.41137271304088,0.9310774340999802
25,0.5101686225361741,1.2882567337709148,0.936965933690327,0.5034253685608527,1.3805206105351224,0.936059788262322
26,0.5147829554517489,1.2747544920687606,0.9384470775891535,0.5036329666509504,1.3651410147983898,0.9319078264603705
27,0.5197960578785462,1.2634525659538773,0.9389028141734078,0.5007265933895844,1.3801937615052282,0.9373053768029074
28,0.5220462572633018,1.2519893020381279,0.940184573316623,0.5038405647163003,1.3945288234710298,0.9356445920821268
29,0.526005468839011,1.2412127013173613,0.9424632562378945,0.5133900768607885,1.3475130196797642,0.9366825825326146
30,0.5326990999202461,1.2290632495090197,0.9437165318445938,0.4996886029019751,1.3882757265191121,0.9387585634335903
31,0.536743762105503,1.2119968043680789,0.9443431696479435,0.5140128711434551,1.3429857273925407,0.9387585634335903
32,0.537000113934146,1.2050385775796453,0.946337017204056,0.5088229188662682,1.3704111361270974,0.9362673863524195
33,0.545317306596787,1.1910897478014757,0.9483023812236527,0.5158812539295856,1.3471637252754558,0.9414573386048588
34,0.5440070639170559,1.1829008007967705,0.9479036117124302,0.5135976749508862,1.36926043011327,0.9341914054514437
35,0.5502734419505526,1.1695990224790231,0.9502962287797653,0.5142204692335527,1.3649529459715533,0.9381357691632977
36,0.5535490486498804,1.1556414162989044,0.9539706049903156,0.5154660577493905,1.3577100694587871,0.9397965538840782
Elapsed sequence train data fitting time 1:34:20.093995
