epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.2366818232698874,2.0797775653817436,0.7451818175139753,0.3222950889194598,1.817241470149306,0.8485245852196803
1,0.3431818246807564,1.7403110015392302,0.8706363565948877,0.41868853202608763,1.5350966680245322,0.911475402019063
2,0.40322727949104525,1.5092662577466531,0.9099999924410473,0.45704918726057303,1.3572767142389641,0.932786877233474
3,0.4552727342227643,1.352940721782771,0.9354999927770008,0.48688525261937593,1.2577180410994857,0.9449180251262227
4,0.49168182461776516,1.2482639744335955,0.9508636297150092,0.5337704979738251,1.157153676376968,0.9642622896882355
5,0.512954551777379,1.1805113520134578,0.959727266647599,0.5721311535991607,1.048104004195479,0.9714754057712243
6,0.5467272790622982,1.1058074847676538,0.9677727219462394,0.5921311525292083,0.9860395353348529,0.9803278649439577
7,0.5700454611568289,1.0467606977982955,0.9737272681431337,0.6003278734742618,0.9728097476920143,0.9793442585429207
8,0.5904090967503461,0.9902213237637824,0.9782727231762626,0.6524590200576625,0.8731716149165982,0.9859016365692264
9,0.6160000047595664,0.9378205566650087,0.9820454510504549,0.649508200561414,0.8248752704409302,0.9895081944152957
10,0.6401363678852265,0.885093049718575,0.985136360634457,0.6990163940386694,0.738358160315967,0.9918032767342739
11,0.6603181851248849,0.833732271749865,0.9885909065062349,0.7272131168451466,0.6676002089117394,0.9940983592486773
12,0.6814545472914523,0.7872198786925185,0.9910454525730826,0.7583606568516278,0.6236336948441678,0.9947540973053604
13,0.7034545470875773,0.736729081327265,0.9921818165074695,0.7609836052675716,0.5993316037733046,0.9973770485549677
14,0.7284545461698012,0.6799621851335872,0.9947727260806344,0.7895081938290205,0.535034054713171,0.9970491796243386
15,0.7488181812112982,0.6372564975849607,0.9957727262648669,0.8170491765757076,0.46886902016694426,0.9980327864162257
16,0.7654090898687189,0.5906003817035393,0.9969999992847443,0.8413114690389789,0.4104002899322353,0.9983606553468548
17,0.78881817961281,0.5441112484647469,0.9977727267687971,0.8780327804753038,0.36364755647592856,0.9990163932081129
18,0.8087727238102392,0.4990819584544409,0.9979545449668711,0.9009835993657347,0.3088783237899913,0.999344262138742
19,0.8337727217240767,0.4517842890288342,0.9989999997615814,0.8937704848461464,0.29994089649837524,0.9983606553468548
20,0.8466818132861094,0.4112955519794063,0.9986363633112474,0.9354098286785063,0.21955252380156126,0.999344262138742
21,0.8704999931563031,0.3696258980154314,0.9993181816556237,0.9367213040101724,0.1968363835247325,0.9996721310693709
22,0.8786818113923073,0.33518809888342566,0.999090908874165,0.952131139450386,0.1670265360689554,1.0
23,0.8949999929287217,0.2973411447859623,0.999090908874165,0.9652458960892725,0.11297106740110721,1.0
24,0.9058636284551838,0.26954387204044244,0.9995454544370824,0.9681967162695088,0.10827824019017766,1.0
Stop train data fit 2019-03-17 00:55:21.890948
Elapsed train data fitting time 2:34:37.036787
