epoch,acc,loss,val_acc,val_loss
0,0.4638349514563107,1.2421003003722255,0.552801724137931,1.1226228927743847
1,0.5645631067961165,1.0708376430770725,0.5991379310344828,1.0187973775740327
2,0.608252427184466,0.9823951894797168,0.6476293103448276,0.8985953238503687
3,0.6455097087378641,0.8971186122269307,0.6756465517241379,0.7976555891078094
4,0.6776699029126214,0.8053375348882768,0.6713362068965517,0.8073153850333444
5,0.704247572815534,0.7441550985123347,0.71875,0.6704884716149034
6,0.7305825242718447,0.6807048325978436,0.7230603448275862,0.6633552497830885
7,0.7395631067961165,0.6445893149931454,0.7672413793103449,0.5992846345079357
8,0.7598300970873786,0.6134662660001551,0.7640086206896551,0.6257060486181029
9,0.7669902912621359,0.5783276238777105,0.7855603448275862,0.5566813853280298
10,0.7758495145631068,0.567595829720636,0.7823275862068966,0.5964757396743215
11,0.7929611650485436,0.5295888464138346,0.8006465517241379,0.5168743734729702
12,0.7945388349514563,0.5306648428578978,0.7898706896551724,0.5356972281788958
13,0.804368932038835,0.5124377373642135,0.8125,0.5122017161599521
14,0.8200242718446602,0.4888433116153606,0.8049568965517241,0.5328801802263178
15,0.8220873786407767,0.4742511523146074,0.8254310344827587,0.487746202740176
16,0.8213592233009709,0.46815971163580716,0.8372844827586207,0.4464884406790651
17,0.8273058252427185,0.4662049318690902,0.8265086206896551,0.46752695957648344
18,0.829611650485437,0.4469724601333581,0.8286637931034483,0.4799013927835843
19,0.8410194174757282,0.4278399889908948,0.8372844827586207,0.46472151603164347
20,0.8387135922330097,0.42828592613194755,0.8491379310344828,0.44112777928340025
21,0.8421116504854369,0.42365312788961,0.834051724137931,0.47413013104734747
22,0.8490291262135923,0.4161615856353519,0.8717672413793104,0.3558771463175272
23,0.8502427184466019,0.3902268225417554,0.8362068965517241,0.47254189283683384
24,0.8557038834951456,0.39218717746942944,0.8415948275862069,0.4615725078459444
25,0.8495145631067961,0.3983598553439946,0.8556034482758621,0.4592624540472853
26,0.8593446601941748,0.38221059379357736,0.8556034482758621,0.4460932422300865
27,0.862378640776699,0.37553134900562973,0.853448275862069,0.40207910383569784
